video_id,datetime,title
5t1vTLU7s40,2024-03-07T21:56:37Z,"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI &amp; the Future of AI | Lex Fridman Podcast #416"
qa-wl8_wpZA,2024-03-04T18:16:30Z,"Serhii Plokhy: History of Ukraine, Russia, Soviet Union, KGB, Nazis &amp; War | Lex Fridman Podcast #415"
f_lRdkH_QoY,2024-02-27T16:33:35Z,"Tucker Carlson: Putin, Navalny, Trump, CIA, NSA, War, Politics &amp; Freedom | Lex Fridman Podcast #414"
PgGKhsWhUu8,2024-02-20T19:14:43Z,"Bill Ackman: Investing, Financial Battles, Harvard, DEI, X &amp; Free Speech | Lex Fridman Podcast #413"
5VnbBCm_ZyQ,2024-02-16T18:45:17Z,Marc Raibert: Boston Dynamics and the Future of Robotics | Lex Fridman Podcast #412
oFSyNdQf5uk,2024-01-31T17:52:56Z,"Omar Suleiman: Palestine, Gaza, Oct 7, Israel, Resistance, Faith &amp; Islam | Lex Fridman Podcast #411"
tYrdMjVXyNg,2024-01-23T17:02:23Z,"Ben Shapiro vs Destiny Debate: Politics, Jan 6, Israel, Ukraine &amp; Wokeism | Lex Fridman Podcast #410"
zMYvGf7BA9o,2024-01-17T16:35:17Z,Matthew Cox: FBI Most Wanted Con Man - $55 Million in Bank Fraud | Lex Fridman Podcast #409
CVx9IB_U9X4,2023-12-24T21:29:15Z,"Teddy Atlas: Mike Tyson, Cus D&#39;Amato, Boxing, Loyalty, Fear &amp; Greatness | Lex Fridman Podcast #406"
DcWqzZ3I2cY,2023-12-14T17:53:21Z,Jeff Bezos: Amazon and Blue Origin | Lex Fridman Podcast #405
CGiDqhSdLHk,2023-12-09T21:14:54Z,Lee Cronin: Controversial Nature Paper on Evolution of Life and Universe | Lex Fridman Podcast #404
VPaOy3G1-2A,2023-12-03T16:57:57Z,"Lisa Randall: Dark Matter, Theoretical Physics, and Extinction Events | Lex Fridman Podcast #403"
2yHr9DPnSzk,2023-11-25T20:41:38Z,Michael Malice: Thanksgiving Pirate Special | Lex Fridman Podcast #402
r4wLXNydzeY,2023-11-17T16:54:23Z,"John Mearsheimer: Israel-Palestine, Russia-Ukraine, China, NATO, and WW3 | Lex Fridman Podcast #401"
JN3KPFbWCy8,2023-11-09T18:23:24Z,"Elon Musk: War, AI, Aliens, Politics, Physics, Video Games, and Humanity | Lex Fridman Podcast #400"
co_MeKSnyAo,2023-10-11T17:55:53Z,"Jared Kushner: Israel, Palestine, Hamas, Gaza, Iran, and the Middle East | Lex Fridman Podcast #399"
MVYrJJNdrEg,2023-09-28T17:20:52Z,Mark Zuckerberg: First Interview in the Metaverse | Lex Fridman Podcast #398
buarAx_u2qg,2023-09-24T23:52:27Z,"Greg Lukianoff: Cancel Culture, Deplatforming, Censorship &amp; Free Speech | Lex Fridman Podcast #397"
fUEjCXpOjPY,2023-09-18T01:02:16Z,"James Sexton: Divorce Lawyer on Marriage, Relationships, Sex, Lies &amp; Love | Lex Fridman Podcast #396"
aGOV5R7M1Js,2023-09-10T18:42:20Z,"Walter Isaacson: Elon Musk, Steve Jobs, Einstein, Da Vinci &amp; Ben Franklin | Lex Fridman Podcast #395"
XbPHojL_61U,2023-09-01T19:07:46Z,"Neri Oxman: Biology, Art, and Science of Design &amp; Engineering with Nature | Lex Fridman Podcast #394"
eTBAxD6lt2g,2023-08-17T17:19:46Z,"Andrew Huberman: Relationships, Drama, Betrayal, Sex, and Love | Lex Fridman Podcast #393"
Sfj0hBnfmmo,2023-08-06T21:36:02Z,Georges St-Pierre vs Lex Fridman in Jiu Jitsu and MMA
dZWngkjrFxw,2023-07-29T21:31:45Z,Lex Fridman speaks to Palestinians in the West Bank
Mde2q7GFCrw,2023-07-17T15:01:43Z,"Yuval Noah Harari: Human Nature, Intelligence, Power, and Conspiracies | Lex Fridman Podcast #390"
XpC7SVDXimg,2023-07-12T15:36:50Z,"Benjamin Netanyahu: Israel, Palestine, Power, Corruption, Hate, and Peace | Lex Fridman Podcast #389"
NPtBkw5uD-0,2023-07-06T17:11:00Z,"Robert F. Kennedy Jr: CIA, Power, Corruption, War, Freedom, and Meaning | Lex Fridman Podcast #388"
dNrTrx42DGQ,2023-06-29T23:24:48Z,"George Hotz: Tiny Corp, Twitter, AI Safety, Self-Driving, GPT, AGI &amp; God | Lex Fridman Podcast #387"
1Wy-6z17up4,2023-06-25T16:50:23Z,Mark Zuckerberg vs Lex Fridman in Jiu Jitsu
-hxeDjAxvJ8,2023-06-22T02:01:03Z,"Marc Andreessen: Future of the Internet, Technology, and AI | Lex Fridman Podcast #386"
diJp4zoQPqo,2023-06-18T22:40:04Z,Jimmy Wales: Wikipedia | Lex Fridman Podcast #385
8qgIFD0PaWo,2023-06-13T18:25:09Z,"Matthew McConaughey: Freedom, Truth, Family, Hardship, and Love | Lex Fridman Podcast #384"
Ff4fRgnuFgQ,2023-06-08T22:48:56Z,"Mark Zuckerberg: Future of AI at Meta, Facebook, Instagram, and WhatsApp | Lex Fridman Podcast #383"
